Date,Time,Location,Age,Gender,Division,Home Team,Away Team,,Pending reschedules:
4/25/2026,9:00,Field U6-1,U6,,U6 Rec/In-House,Team A,Team B,,
4/25/2026,9:00,Field U6-2,U6,,U6 Rec/In-House,Team C,Team D,,
4/25/2026,09:00 EDT,SCC21,12,Female,12U Girls D2,PSJ United 2014 U12 Girls,SCU 2014 Girls White,,
4/25/2026,09:00 EDT,SCC01,10,Male,U10 Male Group 2,PSJ United 2016 - U10 Rec 4,PSJ United 2016 - U10 Rec 3,,
4/25/2026,10:15,Field U8-1,U8,,U8 Rec/In-House,Team 3,Team 2,,
4/25/2026,10:15,Field U8-2,U8,,U8 Rec/In-House,Team 5,Team 4,,
4/25/2026,10:15,Field U8-3,U8,,U8 Rec/In-House,Team 6,Team 1,,
4/25/2026,10:15 EDT,SCC01,9,Male,9U Boys Local East,PSJ United 2017 U9 CC,PSG Orlando U9 Golden,,
4/25/2026,10:30 EDT,SCC21,12,Male,U12 Male Group 4,PSJ United 2014 - U12 CR3,MRP 1204,,
4/25/2026,11:00 EDT,SCC30,14,Male,U14 Male Group 2,PSJ United 2012 - U14 CR1,1402 Titusville,,
4/25/2026,11:30 EDT,SCC01,10,Male,U10 Male Group 1,PSJ United 2016 - U10 Rec 1,PSJ United 2016 - U10 Rec 2,,
4/25/2026,12:00 EDT,SCC21,12,Male,U12 Male Group 3,PSJ United 2014 - U12 CR1,PSJ United 2014 - U12 CR2 ENERGY,,
4/25/2026,13:00 EDT,SCC30,16,Female,15/16U Girls D2,PSJ United 2010 U16 Girls,OPLN 2011 Girls Purple,,
,,,,,,,,,
4/26/2026,13:00 EDT,SCC21,11,Male,BU11 Central Flight 2,PSJ United 2015 - U11 CC,Brevard Beachside Impact 2015B- Black,,
4/26/2026,14:30 EDT,SCC21,12,Male,U12 Male Group 4,PSJ United 2014 - U12 CR3,U12 VRP5 MUNSEY Space Coast Rec S26,,
,,,,,,,,,
5/2/2026,09:00 EDT,SCC01,9,Male,9U Boys Local East,PSJ United 2017 U9 CC,CBS United 2017 Navy,,
,,,,,,,,,
5/9/2026,9:00,Field U6-1,U6,,U6 Rec/In-House,Team A,Team B,,
5/9/2026,9:00,Field U6-2,U6,,U6 Rec/In-House,Team C,Team D,,
5/9/2026,09:00 EDT,SCC21,12,Male,U12 Male Group 3,PSJ United 2014 - U12 CR1,1201 Titusville,,
5/9/2026,10:30 EDT,SCC21,12,Male,U12 Male Group 3,PSJ United 2014 - U12 CR2 ENERGY,U12 VRP6 BRADLEY Space Coast Rec S26,,
5/9/2026,11:15,Field U8-1,U8,,U8 Rec/In-House,Team 2,Team 4,,
5/9/2026,11:15,Field U8-2,U8,,U8 Rec/In-House,Team 6,Team 3,,
5/9/2026,11:15,Field U8-3,U8,,U8 Rec/In-House,Team 1,Team 5,,
5/9/2026,12:00 EDT,SCC01,10,Male,U10 Male Group 1,PSJ United 2016 - U10 Rec 2,Spring 2026 CBS U10 Team 4,,
5/9/2026,13:15 EDT,SCC01,10,Male,U10 Male Group 2,PSJ United 2016 - U10 Rec 3,Spring 2026 CBS U10 Team 3,,
